adminPcode,name,male_population_2015,female_population_2015,population_2015,crude_birth_rate_2015,male_population_2016,female_population_2016,population_2016,crude_birth_rate_2016,male_population_2017,female_population_2017,population_2017,crude_birth_rate_2017,male_population_2018,female_population_2018,population_2018,crude_birth_rate_2018,male_population_2019,female_population_2019,population_2019,crude_birth_rate_2019,male_population_2020,female_population_2020,population_2020,crude_birth_rate_2020,male_population_2021,female_population_2021,population_2021,crude_birth_rate_2021,male_population_2022,female_population_2022,population_2022,crude_birth_rate_2022,male_population_2023,female_population_2023,population_2023,crude_birth_rate_2023,male_population_2024,female_population_2024,population_2024,crude_birth_rate_2024
UG29,KABALE,"111,300","121,500","232,800",40.2,"113,100","123,000","236,100",39.7,"114,900","124,500","239,400",39.3,"116,600","125,900","242,500",38.7,"118,300","127,300","245,600",38.2,"120,000","128,700","248,700",37.7,"121,600","130,000","251,600",37.2,"123,100","131,200","254,300",36.7,"124,600","132,300","256,900",36.1,"126,000","133,400","259,400",35.5
UG310,KABAROLE,"100,800","99,400","200,200",40.2,"103,200","101,300","204,500",39.7,"105,500","103,600","209,100",39.3,"107,700","105,700","213,400",38.7,"109,900","107,900","217,800",38.2,"112,100","110,100","222,200",37.7,"114,500","112,200","226,700",37.2,"116,800","114,300","231,100",36.7,"118,900","116,500","235,400",36.1,"120,800","118,600","239,400",35.5
UG654,KABERAMAIDO,"53,700","55,000","108,700",40.2,"56,000","57,100","113,100",39.7,"58,300","59,400","117,700",39.3,"60,900","61,800","122,700",38.7,"63,600","64,200","127,800",38.2,"66,200","66,500","132,700",37.7,"68,900","69,000","137,900",37.2,"71,800","71,600","143,400",36.7,"74,600","74,100","148,700",36.1,"77,700","76,800","154,500",35.5
UG3113,KAGADI,"176,900","184,200","361,100",40.2,"183,500","190,700","374,200",39.7,"190,300","197,500","387,800",39.3,"197,300","204,400","401,700",38.7,"204,400","211,400","415,800",38.2,"211,600","218,600","430,200",37.7,"219,000","225,900","444,900",37.2,"226,500","233,200","459,700",36.7,"234,000","240,700","474,700",36.1,"241,600","248,200","489,800",35.5
UG3114,KAKUMIRO,"157,800","155,900","313,700",40.2,"171,800","169,000","340,800",39.7,"187,000","183,300","370,300",39.3,"203,500","198,600","402,100",38.7,"221,300","215,200","436,500",38.2,"240,500","232,900","473,400",37.7,"261,200","252,000","513,200",37.2,"283,500","272,500","556,000",36.7,"307,400","294,500","601,900",36.1,"333,200","318,000","651,200",35.5
UG6129,KALAKI,"56,100","57,400","113,500",40.2,"58,600","59,700","118,300",39.7,"61,200","62,000","123,200",39.3,"63,800","64,400","128,200",38.7,"66,400","66,900","133,300",38.2,"69,200","69,500","138,700",37.7,"72,100","72,100","144,200",37.2,"74,900","74,700","149,600",36.7,"77,900","77,500","155,400",36.1,"80,800","80,200","161,000",35.5
UG11,KALANGALA,"32,200","23,700","55,900",40.2,"33,400","24,700","58,100",39.7,"34,600","25,700","60,300",39.3,"35,800","26,700","62,500",38.7,"37,000","27,800","64,800",38.2,"38,300","28,900","67,200",37.7,"39,500","30,000","69,500",37.2,"40,800","31,200","72,000",36.7,"42,100","32,400","74,500",36.1,"43,400","33,600","77,000",35.5
UG464,KALIRO,"119,400","123,500","242,900",40.2,"123,800","127,800","251,600",39.7,"128,300","132,200","260,500",39.3,"133,000","136,700","269,700",38.7,"137,700","141,300","279,000",38.2,"142,500","146,000","288,500",37.7,"147,400","150,800","298,200",37.2,"152,400","155,600","308,000",36.7,"157,400","160,500","317,900",36.1,"162,400","165,400","327,800",35.5
UG100,KALUNGU,"86,100","89,600","175,700",40.2,"87,100","90,400","177,500",39.7,"88,200","91,300","179,500",39.3,"89,200","92,100","181,300",38.7,"90,200","92,900","183,100",38.2,"91,100","93,600","184,700",37.7,"92,000","94,300","186,300",37.2,"92,800","95,000","187,800",36.7,"93,700","95,500","189,200",36.1,"94,300","96,000","190,300",35.5
UG112,KAMPALACITYAUTHORITY,"723,700","805,700","1,529,400",40.2,"738,200","821,500","1,559,700",39.7,"752,700","837,400","1,590,100",39.3,"767,300","853,300","1,620,600",38.7,"781,700","869,100","1,650,800",38.2,"795,900","884,700","1,680,600",37.7,"809,900","900,000","1,709,900",37.2,"823,500","915,100","1,738,600",36.7,"836,700","929,800","1,766,500",36.1,"849,500","944,100","1,793,600",35.5
UG413,KAMULI,"241,400","254,200","495,600",40.2,"248,000","260,000","508,000",39.7,"254,700","265,800","520,500",39.3,"261,500","271,700","533,200",38.7,"268,300","277,600","545,900",38.2,"275,100","283,400","558,500",37.7,"281,900","289,300","571,200",37.2,"288,700","295,000","583,700",36.7,"295,400","300,700","596,100",36.1,"302,100","306,300","608,400",35.5
UG346,KAMWENGE,"136,900","142,000","278,900",40.2,"142,500","147,200","289,700",39.7,"148,200","152,300","300,500",39.3,"154,200","157,700","311,900",38.7,"160,400","163,200","323,600",38.2,"166,500","168,700","335,200",37.7,"173,100","174,300","347,400",37.2,"179,500","180,000","359,500",36.7,"186,000","186,000","372,000",36.1,"192,900","191,900","384,800",35.5
UG55,KANUNGU,"122,800","132,600","255,400",40.2,"125,000","134,800","259,800",39.7,"127,300","137,000","264,300",39.3,"129,500","139,200","268,700",38.7,"131,700","141,300","273,000",38.2,"133,900","143,400","277,300",37.7,"136,000","145,400","281,400",37.2,"138,100","147,400","285,500",36.7,"140,100","149,300","289,400",36.1,"142,000","151,200","293,200",35.5
UG414,KAPCHORWA,"52,900","54,700","107,600",40.2,"54,500","56,200","110,700",39.7,"56,200","57,800","114,000",39.3,"57,900","59,300","117,200",38.7,"59,600","60,900","120,500",38.2,"61,300","62,500","123,800",37.7,"63,100","64,100","127,200",37.2,"64,800","65,800","130,600",36.7,"66,500","67,400","133,900",36.1,"68,300","69,000","137,300",35.5
UG6124,KAPELEBYONG,"44,200","45,400","89,600",40.2,"45,700","46,700","92,400",39.7,"47,200","48,000","95,200",39.3,"48,700","49,300","98,000",38.7,"50,300","50,600","100,900",38.2,"51,900","51,900","103,800",37.7,"53,400","53,200","106,600",37.2,"55,000","54,500","109,500",36.7,"56,600","55,900","112,500",36.1,"58,300","57,200","115,500",35.5
UG6130,KARENGA,"29,400","31,000","60,400",40.2,"30,200","31,600","61,800",39.7,"30,900","32,400","63,300",39.3,"32,000","33,200","65,200",38.7,"32,700","34,100","66,800",38.2,"33,700","34,800","68,500",37.7,"34,300","35,600","69,900",37.2,"35,200","36,200","71,400",36.7,"36,000","37,100","73,100",36.1,"36,900","37,900","74,800",35.5
UG315,KASESE,"345,000","362,600","707,600",40.2,"353,800","370,700","724,500",39.7,"362,800","378,800","741,600",39.3,"371,900","387,000","758,900",38.7,"381,000","395,100","776,100",38.2,"390,000","403,200","793,200",37.7,"399,100","411,300","810,400",37.2,"408,000","419,200","827,200",36.7,"416,900","427,000","843,900",36.1,"425,600","434,700","860,300",35.5
UG3125,KASSANDA,"142,100","134,700","276,800",40.2,"146,200","137,700","283,900",39.7,"150,400","140,600","291,000",39.3,"154,600","143,600","298,200",38.7,"158,900","146,500","305,400",38.2,"163,200","149,500","312,700",37.7,"167,500","152,400","319,900",37.2,"171,800","155,200","327,000",36.7,"176,000","158,100","334,100",36.1,"180,300","160,800","341,100",35.5
UG643,KATAKWI,"83,700","86,200","169,900",40.2,"86,300","88,400","174,700",39.7,"88,900","90,600","179,500",39.3,"91,600","92,900","184,500",38.7,"94,300","95,200","189,500",38.2,"97,100","97,500","194,600",37.7,"99,800","99,700","199,500",37.2,"102,600","102,000","204,600",36.7,"105,400","104,300","209,700",36.1,"108,100","106,500","214,600",35.5
UG147,KAYUNGA,"183,600","189,600","373,200",40.2,"187,400","192,700","380,100",39.7,"191,200","195,900","387,100",39.3,"195,000","199,000","394,000",38.7,"198,800","202,100","400,900",38.2,"202,600","205,100","407,700",37.7,"206,300","208,000","414,300",37.2,"209,900","210,900","420,800",36.7,"213,400","213,700","427,100",36.1,"216,800","216,300","433,100",35.5
UG2131,KAZO,"90,800","91,500","182,300",40.2,"94,200","94,700","188,900",39.7,"97,900","98,100","196,000",39.3,"101,400","101,600","203,000",38.7,"105,300","105,100","210,400",38.2,"108,900","108,700","217,600",37.7,"112,900","112,100","225,000",37.2,"116,800","115,800","232,600",36.7,"120,800","119,600","240,400",36.1,"125,000","123,400","248,400",35.5
UG316,KIBAALE,"74,500","73,400","147,900",40.2,"79,300","77,700","157,000",39.7,"84,300","82,200","166,500",39.3,"89,700","86,900","176,600",38.7,"95,300","91,900","187,200",38.2,"101,200","97,000","198,200",37.7,"107,400","102,500","209,900",37.2,"113,900","108,100","222,000",36.7,"120,800","114,000","234,800",36.1,"127,900","120,200","248,100",35.5
UG317,KIBOGA,"77,500","73,700","151,200",40.2,"79,700","75,400","155,100",39.7,"81,900","77,200","159,100",39.3,"84,100","79,000","163,100",38.7,"86,300","80,800","167,100",38.2,"88,600","82,600","171,200",37.7,"90,800","84,400","175,200",37.2,"93,100","86,200","179,300",36.7,"95,300","88,000","183,300",36.1,"97,500","89,700","187,200",35.5
UG4102,KIBUKU,"100,600","107,600","208,200",40.2,"104,600","111,600","216,200",39.7,"108,800","115,700","224,500",39.3,"113,100","119,900","233,000",38.7,"117,500","124,200","241,700",38.2,"121,900","128,700","250,600",37.7,"126,500","133,100","259,600",37.2,"131,200","137,700","268,900",36.7,"135,900","142,300","278,200",36.1,"140,700","147,000","287,700",35.5
UG3126,KIKUUBE,"142,300","136,400","278,700",40.2,"150,000","143,400","293,400",39.7,"158,000","150,700","308,700",39.3,"166,400","158,300","324,700",38.7,"175,100","166,200","341,300",38.2,"184,200","174,500","358,700",37.7,"193,600","183,000","376,600",37.2,"203,400","191,800","395,200",36.7,"213,500","200,900","414,400",36.1,"223,900","210,400","434,300",35.5
UG265,KIRUHURA,"80,500","74,800","155,300",40.2,"83,600","77,600","161,200",39.7,"86,700","80,300","167,000",39.3,"90,100","83,000","173,100",38.7,"93,300","85,900","179,200",38.2,"96,900","88,800","185,700",37.7,"100,300","91,900","192,200",37.2,"103,800","94,900","198,700",36.7,"107,400","97,900","205,300",36.1,"110,800","100,900","211,700",35.5
UG392,KIRYANDONGO,"136,100","136,100","272,200",40.2,"140,400","139,900","280,300",39.7,"144,900","143,700","288,600",39.3,"149,300","147,500","296,800",38.7,"153,900","151,400","305,300",38.2,"158,500","155,300","313,800",37.7,"163,100","159,200","322,300",37.2,"167,700","163,100","330,800",36.7,"172,300","166,900","339,200",36.1,"177,000","170,800","347,800",35.5
UG18,KISORO,"128,100","157,900","286,000",40.2,"130,800","161,100","291,900",39.7,"133,500","164,300","297,800",39.3,"136,200","167,500","303,700",38.7,"138,900","170,700","309,600",38.2,"141,600","173,800","315,400",37.7,"144,200","176,900","321,100",37.2,"146,800","179,900","326,700",36.7,"149,300","182,900","332,200",36.1,"151,700","185,800","337,500",35.5
UG3132,KITAGWENDA,"72,200","75,800","148,000",40.2,"75,200","78,500","153,700",39.7,"78,300","81,400","159,700",39.3,"81,500","84,300","165,800",38.7,"84,600","87,200","171,800",38.2,"88,100","90,200","178,300",37.7,"91,300","93,300","184,600",37.2,"94,800","96,400","191,200",36.7,"98,400","99,400","197,800",36.1,"101,800","102,500","204,300",35.5
UG519,KITGUM,"100,600","106,000","206,600",40.2,"102,300","107,700","210,000",39.7,"104,100","109,300","213,400",39.3,"105,900","111,000","216,900",38.7,"107,600","112,600","220,200",38.2,"109,300","114,300","223,600",37.7,"110,900","115,800","226,700",37.2,"112,500","117,300","229,800",36.7,"114,100","118,800","232,900",36.1,"115,500","120,200","235,700",35.5
UG566,KOBOKO,"105,600","107,400","213,000",40.2,"110,000","111,500","221,500",39.7,"114,500","115,800","230,300",39.3,"119,200","120,100","239,300",38.7,"123,900","124,600","248,500",38.2,"128,800","129,200","258,000",37.7,"133,800","133,900","267,700",37.2,"138,900","138,600","277,500",36.7,"144,100","143,400","287,500",36.1,"149,300","148,300","297,600",35.5
UG5103,KOLE,"120,200","124,900","245,100",40.2,"124,200","128,500","252,700",39.7,"128,200","132,200","260,400",39.3,"132,400","135,900","268,300",38.7,"136,600","139,700","276,300",38.2,"140,800","143,500","284,300",37.7,"145,100","147,400","292,500",37.2,"149,400","151,200","300,600",36.7,"153,700","155,100","308,800",36.1,"158,100","158,900","317,000",35.5
